owner,repo,issue_id,id,node_id,url,actor_id,event,commit_id,created_at,performed_via_github_app,label_name,label_color,rename_from,rename_to,milestone,lock_reason,assignee_id,assigner_id,review_requester_id,requested_reviewer_id,events_url,commit_url
scottrice,Ice,248250148,1194490396,MDExOkNsb3NlZEV2ZW50MTE5NDQ5MDM5Ng==,https://api.github.com/repos/scottrice/Ice/issues/events/1194490396,25592835,closed,NA,2017-08-06T14:25:17Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/scottrice/Ice/issues/475/events,NA
scottrice,Ice,248250148,1194490436,MDE5OkhlYWRSZWZEZWxldGVkRXZlbnQxMTk0NDkwNDM2,https://api.github.com/repos/scottrice/Ice/issues/events/1194490436,25592835,head_ref_deleted,NA,2017-08-06T14:25:22Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/scottrice/Ice/issues/475/events,NA
scottrice,Ice,248250148,1194491212,MDIwOkhlYWRSZWZSZXN0b3JlZEV2ZW50MTE5NDQ5MTIxMg==,https://api.github.com/repos/scottrice/Ice/issues/events/1194491212,25592835,head_ref_restored,NA,2017-08-06T14:27:27Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/scottrice/Ice/issues/475/events,NA
scottrice,Ice,248249628,1194487848,MDExOkNsb3NlZEV2ZW50MTE5NDQ4Nzg0OA==,https://api.github.com/repos/scottrice/Ice/issues/events/1194487848,25592835,closed,NA,2017-08-06T14:14:27Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/scottrice/Ice/issues/474/events,NA
scottrice,Ice,248249628,1194487890,MDE5OkhlYWRSZWZEZWxldGVkRXZlbnQxMTk0NDg3ODkw,https://api.github.com/repos/scottrice/Ice/issues/events/1194487890,25592835,head_ref_deleted,NA,2017-08-06T14:14:38Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/scottrice/Ice/issues/474/events,NA
scottrice,Ice,247072609,1265808503,MDE0Ok1lbnRpb25lZEV2ZW50MTI2NTgwODUwMw==,https://api.github.com/repos/scottrice/Ice/issues/events/1265808503,31942051,mentioned,NA,2017-09-26T14:06:16Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/scottrice/Ice/issues/473/events,NA
scottrice,Ice,247072609,1265808504,MDE1OlN1YnNjcmliZWRFdmVudDEyNjU4MDg1MDQ=,https://api.github.com/repos/scottrice/Ice/issues/events/1265808504,31942051,subscribed,NA,2017-09-26T14:06:16Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/scottrice/Ice/issues/473/events,NA
scottrice,Ice,247072609,1325438596,MDE0Ok1lbnRpb25lZEV2ZW50MTMyNTQzODU5Ng==,https://api.github.com/repos/scottrice/Ice/issues/events/1325438596,26511314,mentioned,NA,2017-11-03T18:31:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/scottrice/Ice/issues/473/events,NA
scottrice,Ice,247072609,1325438598,MDE1OlN1YnNjcmliZWRFdmVudDEzMjU0Mzg1OTg=,https://api.github.com/repos/scottrice/Ice/issues/events/1325438598,26511314,subscribed,NA,2017-11-03T18:31:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/scottrice/Ice/issues/473/events,NA
scottrice,Ice,247072609,1325517338,MDE0Ok1lbnRpb25lZEV2ZW50MTMyNTUxNzMzOA==,https://api.github.com/repos/scottrice/Ice/issues/events/1325517338,31942051,mentioned,NA,2017-11-03T19:20:50Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/scottrice/Ice/issues/473/events,NA
scottrice,Ice,247072609,1325517339,MDE1OlN1YnNjcmliZWRFdmVudDEzMjU1MTczMzk=,https://api.github.com/repos/scottrice/Ice/issues/events/1325517339,31942051,subscribed,NA,2017-11-03T19:20:50Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/scottrice/Ice/issues/473/events,NA
scottrice,Ice,244338345,1172050658,MDIzOkhlYWRSZWZGb3JjZVB1c2hlZEV2ZW50MTE3MjA1MDY1OA==,https://api.github.com/repos/scottrice/Ice/issues/events/1172050658,1221593,head_ref_force_pushed,NA,2017-07-20T13:00:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/scottrice/Ice/issues/471/events,NA
