owner,repo,issue_id,id,node_id,url,actor_id,event,commit_id,created_at,label_name,label_color,performed_via_github_app,assignee_id,assigner_id,rename_from,rename_to,review_requester_id,requested_reviewer_id,milestone,events_url,commit_url
eljog,agileboard-ui,581117707,3129148531,MDEyOkxhYmVsZWRFdmVudDMxMjkxNDg1MzE=,https://api.github.com/repos/eljog/agileboard-ui/issues/events/3129148531,49699333,labeled,NA,2020-03-14T09:03:10Z,dependencies,0366d6,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/45/events,NA
eljog,agileboard-ui,581117707,4424985025,MDExOkNsb3NlZEV2ZW50NDQyNDk4NTAyNQ==,https://api.github.com/repos/eljog/agileboard-ui/issues/events/4424985025,15967687,closed,NA,2021-03-09T03:30:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/45/events,NA
eljog,agileboard-ui,581117707,4424985723,MDE5OkhlYWRSZWZEZWxldGVkRXZlbnQ0NDI0OTg1NzIz,https://api.github.com/repos/eljog/agileboard-ui/issues/events/4424985723,49699333,head_ref_deleted,NA,2021-03-09T03:31:04Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/45/events,NA
eljog,agileboard-ui,543068120,2911631442,MDEyOkxhYmVsZWRFdmVudDI5MTE2MzE0NDI=,https://api.github.com/repos/eljog/agileboard-ui/issues/events/2911631442,49699333,labeled,NA,2019-12-28T05:16:22Z,dependencies,0366d6,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/44/events,NA
eljog,agileboard-ui,543068120,3731194079,MDExOkNsb3NlZEV2ZW50MzczMTE5NDA3OQ==,https://api.github.com/repos/eljog/agileboard-ui/issues/events/3731194079,49699333,closed,NA,2020-09-04T19:12:27Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/44/events,NA
eljog,agileboard-ui,543068120,3731194195,MDE5OkhlYWRSZWZEZWxldGVkRXZlbnQzNzMxMTk0MTk1,https://api.github.com/repos/eljog/agileboard-ui/issues/events/3731194195,49699333,head_ref_deleted,NA,2020-09-04T19:12:29Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/44/events,NA
eljog,agileboard-ui,514240024,2753895568,MDEyOkxhYmVsZWRFdmVudDI3NTM4OTU1Njg=,https://api.github.com/repos/eljog/agileboard-ui/issues/events/2753895568,49699333,labeled,NA,2019-10-29T21:35:26Z,dependencies,0366d6,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/43/events,NA
eljog,agileboard-ui,514240024,4424984331,MDExOkNsb3NlZEV2ZW50NDQyNDk4NDMzMQ==,https://api.github.com/repos/eljog/agileboard-ui/issues/events/4424984331,15967687,closed,NA,2021-03-09T03:30:41Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/43/events,NA
eljog,agileboard-ui,514240024,4424985057,MDE5OkhlYWRSZWZEZWxldGVkRXZlbnQ0NDI0OTg1MDU3,https://api.github.com/repos/eljog/agileboard-ui/issues/events/4424985057,49699333,head_ref_deleted,NA,2021-03-09T03:30:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/43/events,NA
eljog,agileboard-ui,478288879,2542283190,MDEzOkFzc2lnbmVkRXZlbnQyNTQyMjgzMTkw,https://api.github.com/repos/eljog/agileboard-ui/issues/events/2542283190,15967687,assigned,NA,2019-08-08T07:02:48Z,NA,NA,NA,15967687,15967687,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/42/events,NA
eljog,agileboard-ui,478288879,2542285443,MDE1OlVuYXNzaWduZWRFdmVudDI1NDIyODU0NDM=,https://api.github.com/repos/eljog/agileboard-ui/issues/events/2542285443,15967687,unassigned,NA,2019-08-08T07:03:48Z,NA,NA,NA,15967687,15967687,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/42/events,NA
eljog,agileboard-ui,478288879,2542287898,MDEzOkFzc2lnbmVkRXZlbnQyNTQyMjg3ODk4,https://api.github.com/repos/eljog/agileboard-ui/issues/events/2542287898,15967687,assigned,NA,2019-08-08T07:04:43Z,NA,NA,NA,15967687,15967687,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/42/events,NA
