"Michigan State University
Office of the Registrar",,,,,,,,,,,,,,
Students by Major - Graduate,,,,,,,,,,,,,,
FALL 2005,,,,,,,,,,,,,,
,,,Total Students,,,,Masters,,,,Doctoral,,,
,,,Total,Women,Men,,Total,Women,Men,,Total,Women,Men,
Agriculture and Natural Resources,,,,,,,,,,,,,,
  Chemical Physics,3829,PHD,3,0,3,,0,0,0,,3,0,3,
  Physics,3836,MS,6,3,3,,6,3,3,,0,0,0,
  Physics,3838,PHD,119,19,100,,0,0,0,,119,19,100,
  Physiology,3860,MS,2,1,1,,2,1,1,,0,0,0,
  Physiology,3861,PHD,6,3,3,,0,0,0,,6,3,3,
  Applied Statistics,3871,MS,10,8,2,,10,8,2,,0,0,0,
  Statistics,3875,MS,31,17,14,,31,17,14,,0,0,0,
  Statistics,3877,PHD,26,15,11,,0,0,0,,26,15,11,
  Zoology,3887,MS,5,4,1,,5,4,1,,0,0,0,
  Zoology,3889,PHD,50,31,19,,0,0,0,,50,31,19,
  Astrophysics and Astronomy,3924,PHD,16,4,12,,0,0,0,,16,4,12,
  Geological Sciences,3925,MS,12,7,5,,12,7,5,,0,0,0,
  Geological Sciences,3927,PHD,6,3,3,,0,0,0,,6,3,3,
  Environmental Geosciences,3928,MS,3,1,2,,3,1,2,,0,0,0,
  General Science,3935,MAT,5,4,1,,5,4,1,,0,0,0,
  Zoology-Envir Toxicology,3941,PHD,6,1,5,,0,0,0,,6,1,5,
  Environmental Geosciences,3952,PHD,3,2,1,,0,0,0,,3,2,1,
  Cell and Molecular Biology,3964,PHD,35,24,11,,0,0,0,,35,24,11,
  Neuroscience,3987,PHD,22,12,10,,0,0,0,,22,12,10,
  Industrial Mathematics,3994,MS,13,5,8,,13,5,8,,0,0,0,
  Industrial Microbiology,7000,MS,6,4,2,,6,4,2,,0,0,0,
  Zoo and Aquarium Management,7007,MS,7,6,1,,7,6,1,,0,0,0,
  Cell and Molecular Biology,7011,MS,2,1,1,,2,1,1,,0,0,0,
  Plant Biology,7018,MS,5,3,2,,5,3,2,,0,0,0,
  Plant Biology,7019,PHD,31,16,15,,0,0,0,,31,16,15,
  Genetics,7020,MS,1,0,1,,1,0,1,,0,0,0,
  Biochemistry & Molecular Biol,7027,MS,5,4,1,,5,4,1,,0,0,0,
  Biochemistry & Molecular Biol,7028,PHD,56,22,34,,0,0,0,,56,22,34,
  Biochem&Molecular Biol/Env Tox,7029,PHD,2,1,1,,0,0,0,,2,1,1,
  Microbiol & Molecular Genetics,7030,PHD,33,19,14,,0,0,0,,33,19,14,
  Biomedical Lab Operations,7037,MS,5,2,3,,5,2,3,,0,0,0,
  Microbiol & Molecular Genetics,7043,MS,4,2,2,,4,2,2,,0,0,0,
  Human Nutrition,7051,PHD,1,1,0,,0,0,0,,1,1,0,
"  Ecology,Evol Biology&Behavior",9822,DUAL,1,1,0,,0,0,0,,1,1,0,
  Natural Science Total,,,912,399,513,,158,82,76,,754,317,437,
Nursing,,,,,,,,,,,,,,
  Nursing,4003,MSN,81,71,10,,81,71,10,,0,0,0,
  Nursing,4013,PHD,15,15,0,,0,0,0,,15,15,0,
  Nursing,4016,MSN,76,72,4,,76,72,4,,0,0,0,
  Nursing Total,,,172,158,14,,157,143,14,,15,15,0,
Osteopathic Medicine,,,,,,,,,,,,,,
  Physiology,4189,PHD,1,1,0,,0,0,0,,1,1,0,
  Osteopathic Medicine Total,,,1,1,0,,0,0,0,,1,1,0,
Social Science,,,,,,,,,,,,,,
  Anthropology,4307,MA,25,18,7,,25,18,7,,0,0,0,
  Anthropology,4308,PHD,43,30,13,,0,0,0,,43,30,13,
  Criminal Justice,4318,MS,38,19,19,,38,19,19,,0,0,0,
  Geography,4345,MA,15,8,7,,15,8,7,,0,0,0,
  Geography,4347,PHD,26,8,18,,0,0,0,,26,8,18,
  Political Science,4387,PHD,50,14,36,,0,0,0,,50,14,36,
  Public Administration,4396,MPA,8,4,4,,8,4,4,,0,0,0,
  Political Sci-Urban Studies,4401,PHD,2,1,1,,0,0,0,,2,1,1,
  Psychology,4414,MA,45,33,12,,45,33,12,,0,0,0,
  Psychology,4415,PHD,63,45,18,,0,0,0,,63,45,18,
  Social Sci-Criminal Justice,4475,PHD,3,1,2,,0,0,0,,3,1,2,
  Social Science-Social Work,4481,PHD,5,3,2,,0,0,0,,5,3,2,
  Clinical Social Work,4493,MSW,247,212,35,,247,212,35,,0,0,0,
  Clinical Social Work,4502,MSW,54,49,5,,54,49,5,,0,0,0,
  Sociology-Urban Studies,4531,PHD,3,3,0,,0,0,0,,3,3,0,
  Sociology,4535,MA,1,0,1,,1,0,1,,0,0,0,
  Sociology,4536,PHD,54,35,19,,0,0,0,,54,35,19,
  Inter Stdy Soc Sci:Global Appl,4592,MA,4,0,4,,4,0,4,,0,0,0,
  Soc Sci-Industrial Rel Hum Res,4660,PHD,4,3,1,,0,0,0,,4,3,1,
  Urban and Regional Planning,4663,MURP,23,15,8,,23,15,8,,0,0,0,
  Labor Relations & Human Res,4664,MLHR,91,58,33,,91,58,33,,0,0,0,
  Criminal Justice,4702,MS,17,5,12,,17,5,12,,0,0,0,
  Organizational & Cmty Practice,4718,MSW,48,40,8,,48,40,8,,0,0,0,
  Organizational & Cmty Practice,4719,MSW,9,8,1,,9,8,1,,0,0,0,
  Criminal Justice,4725,PHD,28,8,20,,0,0,0,,28,8,20,
  Prof Appl in Anthropology,4727,MA,1,1,0,,1,1,0,,0,0,0,
  Economics,4736,MA,3,2,1,,3,2,1,,0,0,0,
  Economics,4737,PHD,73,19,54,,0,0,0,,73,19,54,
  Geographic Information Science,4742,MS,9,1,8,,9,1,8,,0,0,0,
  Forensic Science,4744,MS,24,21,3,,24,21,3,,0,0,0,
  Environmental Design,4745,MA,6,4,2,,6,4,2,,0,0,0,
  Social Work,4746,PHD,19,15,4,,0,0,0,,19,15,4,
  Industrial Rel and Human Res,7602,PHD,3,0,3,,0,0,0,,3,0,3,
  History-Secondary School Teach,7610,MA,2,1,1,,2,1,1,,0,0,0,
