degree,degree_id,degree_level,total,file,term,year,term_numeric,time
College of Agriculture-Animal Science,0291,PHD,17,spring2012.xlsx,spring,2012,0,54
College of Agriculture-Animal Science,0291,PHD,12,summer2012.xlsx,summer,2012,1,55
College of Agriculture-Animal Science,0291,PHD,18,fall2012.xlsx,fall,2012,2,56
College of Agriculture-Animal Science,0291,PHD,20,spring2013.xlsx,spring,2013,0,57
College of Agriculture-Animal Science,0291,PHD,16,summer2013.xlsx,summer,2013,1,58
College of Agriculture-Animal Science,0291,PHD,19,fall2013.xlsx,fall,2013,2,59
College of Agriculture-Animal Science,0291,PHD,18,spring2014.xlsx,spring,2014,0,60
College of Agriculture-Animal Science,0291,PHD,7,summer2014.xlsx,summer,2014,1,61
College of Agriculture-Animal Science,0291,PHD,20,fall2014.xlsx,fall,2014,2,62
College of Agriculture-Animal Science,0291,PHD,20,spring2015.xlsx,spring,2015,0,63
College of Agriculture-Animal Science,0291,PHD,11,summer2015.xlsx,summer,2015,1,64
College of Agriculture-Animal Science,0291,PHD,21,fall2015.xlsx,fall,2015,2,65
College of Agriculture-Animal Science,0291,PHD,22,spring2016.xlsx,spring,2016,0,66
College of Agriculture-Animal Science,0291,PHD,9,summer2016.xlsx,summer,2016,1,67
College of Agriculture-Animal Science,0291,PHD,22,fall2016.xlsx,fall,2016,2,68
College of Agriculture-Animal Science,0291,PHD,20,spring2017.xlsx,spring,2017,0,69
College of Agriculture-Animal Science,0291,PHD,16,summer2017.xlsx,summer,2017,1,70
College of Agriculture-Animal Science,0291,PHD,19,fall2017.xlsx,fall,2017,2,71
College of Agriculture-Animal Science,0291,PHD,19,spring2018.xlsx,spring,2018,0,72
College of Agriculture-Animal Science,0291,PHD,15,summer2018.xlsx,summer,2018,1,73
College of Agriculture-Animal Science,0291,PHD,18,fall2018.xlsx,fall,2018,2,74
College of Agriculture-Animal Science,0291,PHD,17,spring2019.xlsx,spring,2019,0,75
College of Agriculture-Animal Science,0291,PHD,8,summer2019.xlsx,summer,2019,1,76
College of Agriculture-Animal Science,0291,PHD,21,fall2019.xlsx,fall,2019,2,77
College of Agriculture-Animal Science,0291,PHD,18,spring2020.xlsx,spring,2020,0,78
College of Agriculture-Biosystems Engineering,0501,PHD,1,fall1997.xlsx,fall,1997,2,1
College of Agriculture-Biosystems Engineering,0501,PHD,2,spring1998.xlsx,spring,1998,0,2
College of Agriculture-Biosystems Engineering,0501,PHD,4,summer1998.xlsx,summer,1998,1,3
College of Agriculture-Biosystems Engineering,0501,PHD,4,fall1998.xlsx,fall,1998,2,4
College of Agriculture-Biosystems Engineering,0501,PHD,4,spring1999.xlsx,spring,1999,0,5
College of Agriculture-Biosystems Engineering,0501,PHD,4,summer1999.xlsx,summer,1999,1,6
College of Agriculture-Biosystems Engineering,0501,PHD,4,fall1999.xlsx,fall,1999,2,7
College of Agriculture-Biosystems Engineering,0501,PHD,5,spring2000.xlsx,spring,2000,0,8
College of Agriculture-Biosystems Engineering,0501,PHD,4,summer2000.xlsx,summer,2000,1,9
College of Agriculture-Biosystems Engineering,0501,PHD,6,fall2000.xlsx,fall,2000,2,10
College of Agriculture-Biosystems Engineering,0501,PHD,7,spring2001.xlsx,spring,2001,0,11
College of Agriculture-Biosystems Engineering,0501,PHD,8,summer2001.xlsx,summer,2001,1,12
College of Agriculture-Biosystems Engineering,0501,PHD,11,fall2001.xlsx,fall,2001,2,13
College of Agriculture-Biosystems Engineering,0501,PHD,11,spring2002.xlsx,spring,2002,0,14
